"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","minuslog10padj","regulation","inPublication"
"3136","Dtd1",278.121751061482,-0.0575602536364321,0.0991633355887454,-0.58045903049438,0.561605107258896,0.741787215062031,"p adj. >= 0.05",0.129720656146071,"not significant",FALSE
"3137","Dtd2",78.3841309488212,0.0247415789252606,0.209669454779105,0.11800278181353,0.906065453716564,0.953395070867573,"p adj. >= 0.05",0.0207270977420453,"not significant",FALSE
"3138","Dtl",195.968267549039,-0.313053739999029,0.117994893460968,-2.65311261205204,0.00797532581590286,0.0411543056399155,"p adj. < 0.05",1.38558472137915,"not significant",FALSE
"3139","Dtna",846.88780213156,0.212099807683683,0.0628287567572639,3.37583964144192,0.000735907978847214,0.00641193896384471,"p adj. < 0.05",2.19301062040891,"not significant",FALSE
"3140","Dtnb",450.099107719986,-0.0535448937348945,0.0866951122086029,-0.617622982089885,0.536823891545394,0.723163995580251,"p adj. >= 0.05",0.140763204366301,"not significant",FALSE
"3141","Dtnbp1",424.025578365352,-0.00387286523687391,0.0868901965438738,-0.044571947019574,0.96444850346462,0.98267527359928,"p adj. >= 0.05",0.00758997167209514,"not significant",FALSE
"3142","Dtwd1",86.5612480955622,-0.138236467872363,0.165859826717827,-0.833453589141519,0.404588962243887,0.614344742807858,"p adj. >= 0.05",0.211587853804743,"not significant",FALSE
"3143","Dtwd2",50.0119444106081,0.314662847463546,0.240659712133517,1.3075011379095,0.191042568705342,0.387199200019104,"p adj. >= 0.05",0.412065548645792,"not significant",FALSE
"3144","Dtx1",2560.09127759981,-0.0974024352555939,0.0570945667305533,-1.70598431397624,0.0880110001484468,0.22923228864287,"p adj. >= 0.05",0.63972420960261,"not significant",FALSE
"3145","Dtx2",209.071297421265,-0.145757321762466,0.112016617164592,-1.30121160102788,0.19318603541123,0.389923828789267,"p adj. >= 0.05",0.40902022365923,"not significant",FALSE
"3146","Dtx3",3012.58781525706,-0.204583267860469,0.0424999237794369,-4.81373258272653,1.48137009540603e-06,3.98276931364878e-05,"p adj. < 0.05",4.39981484767321,"not significant",FALSE
"3147","Dtx3l",41.6851293654601,-0.383091548791265,0.246575970580036,-1.55364510130527,0.120269094878486,0.284917291121951,"p adj. >= 0.05",0.545281193403635,"not significant",FALSE
"3148","Dtx4",2015.159628245,-0.0397552719343532,0.0510612801633692,-0.778579616632354,0.43622739013041,0.641298177430948,"p adj. >= 0.05",0.192939994345675,"not significant",FALSE
"3149","Dtymk",748.383352609532,0.0359093863665818,0.0709539071254457,0.506094559431299,0.612790269701997,0.777075795902927,"p adj. >= 0.05",0.109536618088477,"not significant",FALSE
"3150","Dubr",121.530241684598,0.587065157787771,0.147336504319084,3.98451938642697,6.76168371455434e-05,0.00097353465853048,"p adj. < 0.05",3.0116485826744,"gene upregulated",FALSE
"3151","Dus1l",272.746798439297,-0.0872068049014198,0.100084550876652,-0.871331330735521,0.383573268190746,0.596106433307171,"p adj. >= 0.05",0.224676191146989,"not significant",FALSE
"3152","Dus2",170.578070879821,-0.09071898525716,0.121721221214056,-0.745301306972789,0.45608959120116,0.657243959142867,"p adj. >= 0.05",0.182273396888356,"not significant",FALSE
"3153","Dus3l",971.6806572141,-0.0272266265173516,0.0726316327009204,-0.374859073173589,0.707765278140224,0.84102787036723,"p adj. >= 0.05",0.0751896121139292,"not significant",FALSE
"3154","Dus4l",84.6229658967078,-0.0189325796153278,0.173373391266048,-0.109201184086404,0.913042921162338,0.956991601829314,"p adj. >= 0.05",0.0190918733989041,"not significant",FALSE
"3155","Dusp1",378.384315730712,-0.129840460459414,0.0998428063037751,-1.30044882817466,0.193447183941066,0.390391115385968,"p adj. >= 0.05",0.408500074670188,"not significant",FALSE
"3156","Dusp10",40.3604186176384,-0.167511788412736,0.255306826952348,-0.656119503000997,0.511747236749049,0.702778911386634,"p adj. >= 0.05",0.153181279057546,"not significant",FALSE
