"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Arhgap5",1605.30684736014,0.354181829943715,0.0544809293848871,7.93750322787918e-12,9.42060067784508e-10
"Arhgdia",3180.86503596349,-0.239801781210901,0.0545272925462312,1.78830969070281e-06,4.66518650798393e-05
"Arhgef12",5416.25275190882,0.200576490340462,0.0496580140980162,1.18797518169484e-05,0.000229141801517537
"Arhgef2",2939.31633309152,-0.254170524524171,0.051085796965587,9.90575692976779e-08,3.94255111156377e-06
"Arhgef25",956.275520115244,-0.327836861561981,0.0630147858977798,2.0847073189394e-08,1.00779686951286e-06
"Arhgef3",155.723859509179,0.22613378400625,0.133115371886273,0.0102450564908891,0.0493485828924949
"Arhgef9",1512.24297782321,0.167325572933899,0.0507734935249001,0.000286743958104213,0.00304396849642619
"Arid5b",559.008708112473,0.217111113346273,0.100106124245137,0.00447496844349489,0.0263184081583043
"Ark2c",3046.29504331406,-0.193302826737118,0.0548396434806437,9.51914724543511e-05,0.00127444355499352
"Arl15",965.514199669065,0.191134545434024,0.0565293430190531,0.000167041941211908,0.00200968998495495
"Arl2bp",1331.66117278724,-0.134520090514043,0.0496499241619807,0.0026880796939819,0.0177204796105098
"Arl4a",676.692933050539,0.244892410221029,0.0797975601177413,0.000304683155940841,0.00320087392054597
"Arl5a",2621.62756559438,0.119794418222541,0.0475016027805759,0.00545246387217284,0.0308286519536502
"Arl5b",1189.0602325872,0.195800696926469,0.056040656331587,0.000106067317346407,0.00138349587992234
"Arl6ip4",278.311460568521,-0.198577116713801,0.0965263097323007,0.00683286885811544,0.0365622316558947
"Armc9",557.75092828829,0.188620621355373,0.0901642343137363,0.0070563179354992,0.0375140970469195
"Armcx3",1274.36380278181,0.122274900787223,0.0519334249892505,0.00833700945903103,0.0425490132824046
"Armh4",231.081254421007,0.226333211519117,0.113177205591904,0.00591063590892343,0.0326896378942726
"Arpp19",2280.1054222937,0.148066121490487,0.0629239299250038,0.00607160931850518,0.0333558720441982
"Arrdc4",613.617204429704,0.194834043208135,0.084830753461007,0.00408406233414655,0.0245351054086366
"Arxes1",580.468357669512,0.161616433670315,0.0759894248917314,0.00885845672822441,0.0444237947992495
"Ascc3",685.742663468491,0.491295470611705,0.0761574965966087,7.9246855076073e-12,9.42060067784508e-10
"Ascl1",443.785389895259,-0.233154887464275,0.13506331137929,0.00911684322716704,0.045339861334352
"Asns",559.554242097079,0.312600872156486,0.0748838827086058,3.18460239168878e-06,7.72632631825193e-05
"Asph",759.774194200367,0.147552642978517,0.0621319693901478,0.00579452703315301,0.032196161592053
