ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3885	15,36,17,20	360,709,565,491	19,13,19,7	435,398,408,341	158	2460	0.46741873325257	0.839359481584513
3886	152,190,148,182	134,140,124,122	169,111,135,117	115,92,119,106	133	98	0.55771881168845	0.879023436152445
3887	4,6,3,7	244,271,278,269	3,4,8,1	218,216,217,231	98	122	0.790731184668843	0.966818811627891
3888	94,124,94,119	244,266,272,269	91,76,97,118	215,214,217,230	98	122	0.495913005033833	0.851477443115896
3889	156,76,81,106	218,167,143,172	96,100,131,133	165,147,196,159	143	169	0.139559271722362	0.605855484551286
3890	64,67,70,87	175,207,175,183	75,85,67,81	176,184,168,153	75	145	0.118073872703179	0.575887298143264
3892	28,34,29,34	55,42,44,35	31,27,33,29	40,38,40,36	141	75	0.587057294146663	0.888065739288845
3893	61,49,54,43	263,222,216,229	67,51,53,52	259,205,237,256	88	182	0.659670968216258	0.919115744651352
3894	203,169,131,177	65,67,80,83	152,153,170,170	90,72,66,81	148	88	0.407070075357528	0.799612242093221
3895	6,1,0,8	65,67,77,83	3,8,6,11	86,67,67,78	148	88	0.122272763433307	0.579648929845898
3896	2,3,6,3	0,0,0,0	4,3,5,1	0,7,0,0	113	93	0.999202115572178	0.999202115572178
3897	10,22,13,20	17,23,13,16	16,19,20,12	16,13,9,20	204	172	0.450877264419864	0.828668939538588
3898	34,40,34,47	128,147,125,121	31,34,33,40	115,100,135,127	136	218	0.835225536501298	0.981946677887391
3899	12,24,8,10	18,5,3,6	9,8,6,4	10,9,9,12	147	746	0.019868432240558	0.354348799037076
3900	150,206,204,167	197,209,249,195	173,150,133,186	232,196,208,183	159	185	0.362355645336368	0.773694016354337
3901	2,3,7,4	197,209,249,195	1,0,2,1	232,196,208,183	175	185	0.00962892660142223	0.284873925154135
3902	453,394,357,361	41,37,40,46	407,334,375,416	38,41,43,45	2379	228	0.727639683498908	0.94553702794171
3903	154,133,124,169	54,69,63,64	116,122,145,181	62,53,53,67	342	150	0.747175471926272	0.95250619274723
3904	350,270,309,282	111,85,76,62	375,306,356,381	88,96,98,101	197	94	0.865428395893368	0.993284778350178
3905	52,55,55,71	47,62,56,76	41,43,42,39	54,48,42,56	242	235	0.16107536355506	0.619569155185526
3906	0,2,1,3	4,2,1,0	2,0,0,2	1,0,4,2	102	100	0.798465088642922	0.969876864020679
3907	97,134,120,115	63,97,79,77	162,166,123,179	100,75,74,108	136	109	0.0457067045427735	0.459881998954488
3908	141,138,156,126	52,45,50,44	103,109,84,124	58,36,35,48	557	187	0.122550018923808	0.579753208884491
3909	89,69,81,70	295,301,332,271	34,53,43,77	161,144,109,157	90	104	0.104345089342631	0.552102490921423
3910	135,121,137,137	559,498,477,543	65,74,56,63	345,282,253,308	104	117	0.0697334979179834	0.494500939587338
3911	405,372,364,383	1466,1476,1323,1507	197,214,202,236	888,826,790,999	117	324	0.0654456462647582	0.487853662219689
3912	1311,1233,1210,1246	842,805,708,816	758,685,599,740	429,480,425,527	324	153	0.338395957062731	0.755617624704018
3913	12720,13743,12272,12892	719,657,705,688	7832,7231,6777,8297	523,465,518,519	3780	246	0.00102986440592201	0.240561687344001
3914	12720,13743,12272,12890	314,271,284,278	7832,7231,6777,8298	215,187,190,200	3780	246	0.00398591620849154	0.26715281942559
3915	12720,13744,12272,12890	452,433,417,456	7832,7231,6777,8297	353,333,332,323	3780	174	0.00197834298064992	0.249951259631798
3916	12720,13744,12272,12890	34,29,14,25	7832,7231,6777,8297	14,14,25,19	3780	493	0.32833154178707	0.751852732016401
3917	12720,13744,12272,12890	450,431,415,455	7832,7231,6777,8297	353,327,331,319	3780	171	0.00241183410360468	0.249951259631798
3918	12363,13393,11933,12494	719,657,705,688	7688,7068,6660,8121	523,465,518,519	3768	246	0.00121734026675313	0.240561687344001
3919	12363,13393,11933,12492	314,271,284,278	7688,7068,6660,8122	215,187,190,200	3768	246	0.00500797153638743	0.270634286923298
3920	12363,13394,11933,12492	452,433,417,456	7688,7068,6660,8121	353,333,332,323	3768	174	0.00213529035651339	0.249951259631798
3921	12363,13394,11933,12492	34,29,14,25	7688,7068,6660,8121	14,14,25,19	3768	493	0.348345431220001	0.763306837214168
3922	12363,13394,11933,12492	450,431,415,455	7688,7068,6660,8121	353,327,331,319	3768	171	0.00259759189690389	0.249951259631798
3923	758,684,677,731	452,431,416,458	526,542,525,553	353,331,332,320	246	174	0.75694828572677	0.954777274916158
3924	758,684,677,731	34,27,13,27	526,542,525,553	14,12,25,16	246	493	0.502268097710543	0.854406435057501
3925	758,684,677,731	450,431,415,454	526,542,525,553	353,327,331,320	246	171	0.752681860812507	0.954399302936787
3926	756,680,677,728	89,102,109,97	523,541,516,549	86,74,82,84	246	174	0.245967066923342	0.701779497454614
3927	756,680,677,728	88,102,109,92	523,541,516,549	85,73,82,85	246	171	0.208385085809529	0.667398607259097
3928	1,1,5,1	7,5,8,13	2,1,1,0	10,10,9,9	140	105	0.321459010104422	0.749040286516419
3929	0,1,3,1	14,8,14,17	0,0,0,1	18,15,12,16	140	105	0.083062037045009	0.518948802483482
3930	166,159,160,179	85,102,62,80	148,127,154,181	79,60,65,87	119	75	0.788494359998846	0.966795521814952
3931	0,1,0,0	243,234,256,241	1,0,0,0	225,238,269,258	121	220	0.999202115572178	0.999202115572178
3932	123,133,129,118	243,234,256,241	89,85,112,111	225,238,269,258	130	220	0.00316976184367146	0.254605747374295
3933	202,180,189,187	307,254,284,292	121,125,128,142	215,201,249,237	201	233	0.0229076071900531	0.370589314791088
3934	8,13,3,13	0,2,2,2	11,4,3,4	1,0,0,3	321	235	0.936457493606417	0.999202115572178
3935	0,0,0,1	0,2,2,2	0,1,0,0	1,0,0,3	82	235	0.999202115572178	0.999202115572178
3936	6,4,3,8	56,69,42,62	2,3,3,5	42,35,33,26	213	115	0.905793149325468	0.999202115572178
3937	0,0,1,0	1,2,0,2	1,0,1,2	6,3,2,2	90	157	0.666450159767402	0.921546218135296
3938	0,2,1,0	23,18,23,13	0,3,0,0	18,19,13,20	157	158	0.999202115572178	0.999202115572178
